target_id,year,period_type,status,priority,publisher,title,url,expected_payload,notes
carexpert_2021_full,2021,annual,validated,high,CarExpert,"VFACTS: Australia's 2021 new car sales detailed in full",https://www.carexpert.com.au/car-news/vfacts-australias-2021-new-car-sales-detailed-in-full,"market_total; category_breakdown; fuel_breakdown; top20_models; segment leaders","Already seeded into observations and model_sales_observations."
carexpert_2022_full,2022,annual,validated,high,CarExpert,"VFACTS: Australia's new car sales results for 2022",https://www.carexpert.com.au/car-news/vfacts-australias-new-car-sales-results-for-2022,"market_total; category_breakdown; fuel_breakdown; top20_models; segment leaders","Already seeded into observations and model_sales_observations."
carexpert_2023_full,2023,annual,validated,high,CarExpert,"VFACTS 2023: All-time Australian sales record, Ford Ranger tops charts",https://www.carexpert.com.au/car-news/vfacts-2023-all-time-australian-sales-record-ford-ranger-tops-charts,"market_total; category_breakdown; fuel_breakdown; EV top sellers; segment leaders","Seeded into observations; top model table still needs fuller extraction."
chasingcars_2024_top100,2024,annual,validated,high,Chasing Cars,"Top 100 most popular cars in Australia in 2024: best-selling vehicles",https://www.chasingcars.com.au/news/car-industry/top-100-most-popular-cars-in-australia-in-2024-best-selling-vehicles/,"market_total; top100_models; vehicle_type; selected powertrain details","Already seeded into model_sales_observations and model_lookup."
carsguide_2020_top100,2020,annual,validated,high,CarsGuide,"Top 100 new cars sold in Australia in 2020",https://www.carsguide.com.au/car-news/top-100-new-cars-sold-in-australia-in-2020-82038,"top100_models","Seeded into model_sales_observations. CarsGuide notes Tesla sales are excluded from referenced VFACTS."
carsguide_2019_top100,2019,annual,validated,medium,CarsGuide,"Top 100 new cars sold in Australia in 2019",https://www.carsguide.com.au/car-news/top-100-new-cars-sold-in-australia-in-2019-77618,"top100_models","Seeded into model_sales_observations."
caradvice_2018_wrap,2018,annual,located,medium,CarAdvice,"VFACTS: 2018 annual sales wrap",,"market_total; models; segments","Known title from model-page references; URL discovery needed."
caradvice_2017_wrap,2017,annual,located,medium,CarAdvice,"VFACTS: Industry claims annual record for 2017",,"market_total; models; segments","Known title from model-page references; URL discovery needed."
caradvice_2016_wrap,2016,annual,located,medium,CarAdvice,"2016 VFACTS wrap: New sales record set",,"market_total; models; segments","Known title from model-page references; URL discovery needed."
carexpert_2025_full,2025,annual,validated,high,CarExpert,"VFACTS 2025: Another record year for new vehicle sales in Australia, but growth modest overall",https://www.carexpert.com.au/car-news/vfacts-2025-another-record-year-for-new-vehicle-sales-in-australia-but-growth-modest-overall,"market_total; category_breakdown; fuel_breakdown; top20_models; segment leaders","Seeded into observations and model_sales_observations."
monthly_2026_vfacts,2026,monthly,partial,high,Multiple,"2026 monthly VFACTS reports",,"monthly market_total; category/fuel shares where available","2026 is YTD/monthly only as of 2026-07-16."
chasingcars_2026_apr,2026,monthly,validated,high,Chasing Cars,"April new car sales 2026: EV sales soar to one in eight while Toyota RAV4 lands back on the throne",https://www.chasingcars.com.au/news/car-industry/april-new-car-sales-2026-ev-sales-soar-to-one-in-eight-while-toyota-rav4-lands-back-on-the-throne/,"monthly_total; YTD_total; monthly fuel counts; YTD fuel counts; top models","Seeded into observations."
chasingcars_2026_may,2026,monthly,validated,high,Chasing Cars,"MAY 2026 new car sales: Tesla Model Y claims top spot while Chinese-brand sales surge hitting Toyota and Ford",https://www.chasingcars.com.au/news/car-industry/may-2026-new-car-sales-tesla-model-y-claims-top-spot-while-chinese-brand-sales-surge-hitting-toyota-and-ford/,"monthly top models; monthly brands; selected YTD brands","Seeded into observations and model_sales_observations."
aaa_ev_index,2022-2026,quarterly,located,highest,Australian Automobile Association,"Electric Vehicle Index",https://www.aaa.asn.au/research-data/electric-vehicle/,"state; vehicle type; manufacturer; model; fuel type; quarterly sales; dashboard tables","This is likely the best public source for the target cross-tab. Default embedded CSV inspected covers Q1 2022-Q1 2024; dashboard text references Q1 2026, so additional tab/API extraction is needed."
fcai_2016_full,2016,annual,validated,high,FCAI,"Record Sales Year for 2016 Flags Dramatic Shift in Buyer Preferences",https://www.fcai.com.au/record-sales-year-for-2016-flags-dramatic-shift-in-buyer-preferences/,"market_total; SUV share; light_commercial share; top models","Seeded into observations with passenger/SUV exact values from GoAuto and derived LCV/heavy from FCAI shares."
goauto_2016_full,2016,annual,validated,high,GoAuto,"SUVs set to topple passenger cars",https://www.goauto.com.au/news/vfacts/sales-2016/suvs-set-to-topple-passenger-cars/2017-01-05/20155.html,"passenger total; SUV total; selected fuel details","Seeded into observations."
goauto_kpmg_2018_industry,2017-2018,annual,validated,high,GoAuto Premium,"Be alert but not alarmed: Part Two",https://premium.goauto.com.au/be-alert-but-not-alarmed-part-two/,"vehicle class totals; passenger/SUV fuel splits","Seeded into observations."
fcai_2019_full,2019,annual,validated,high,FCAI,"New vehicle sales down in challenging 2019 market",https://www.fcai.com.au/new-vehicle-sales-down-in-challenging-2019-market/,"market_total; class shares; class YoY changes","Seeded into observations; class units derived from 2018 exact class totals and FCAI YoY percentages."
goauto_2020_hybrid_market,2018-2019,annual,validated,medium,GoAuto,"Market Insight: Hybrids gather pace",https://www.goauto.com.au/news/market-insight/market-insight-2020/market-insight-hybrids-gather-pace/2020-03-17/82015.html,"hybrid totals; plug-in context","Seeded into observations."
carexpert_2020_full,2020,annual,validated,high,CarExpert,"VFACTS: Australia's new vehicle sales at their lowest since 2003",https://www.carexpert.com.au/car-news/vfacts-2020-australian-new-car-sales-results-reviewed-in-detail,"market_total; class shares; fuel totals; top models","Seeded into observations; class units derived from reported shares."
