source_id,grade,source_type,title,publisher,url,accessed_date,notes
abs_mvc_2021,A,official_stats,"Motor Vehicle Census, Australia, 31 Jan 2021",Australian Bureau of Statistics,https://www.abs.gov.au/statistics/industry/tourism-and-transport/motor-vehicle-census-australia/31-jan-2021,2026-07-16,"Final ABS Motor Vehicle Census release; useful for stock validation by vehicle type and fuel type."
guardian_2024_vfacts,B,media_vfacts_quote,"Fuel-hungry utes and SUVs dominate Australian sales, with Corolla the only small car on top 10 list",The Guardian,https://www.theguardian.com/australia-news/2025/jan/06/fuel-hungry-utes-and-suvs-dominate-australian-sales-with-corolla-the-only-small-car-in-top-10-list,2026-07-16,"Reports 2024 total new vehicle sales, broad segment shares, and EV share."
news_2024_q2_aaa,B,media_aaa_quote,"Petrol, diesel car sales slip against EVs",news.com.au,https://www.news.com.au/technology/motoring/on-the-road/combustion-engine-car-sales-falling-in-australia/news-story/e82ce6cc14bead961fc36de5adc13025,2026-07-16,"Reports AAA Q2 2024 fuel-type shares and counts for EVs and hybrids."
wiki_pev_au,C,tertiary_compilation,"Plug-in electric vehicles in Australia",Wikipedia,https://en.wikipedia.org/wiki/Plug-in_electric_vehicles_in_Australia,2026-07-16,"Useful index of annual EV totals and references; should be backfilled from original linked articles."
dailytelegraph_2026_mar,B,media_vfacts_quote,"EVs reach highest ever Aussie market share amid fuel supply concerns",Daily Telegraph,https://www.dailytelegraph.com.au/news/nsw/chinese-car-maker-byd-outsells-ford-and-mazda-in-australian-sales-shock/news-story/2e5f6db2d8aeacee539efeed6a963382,2026-07-16,"Search snippet reports March 2026 BEV sales and market share from VFACTS."
news_2026_mar,B,media_vfacts_quote,"Wave of new EVs to hit Melbourne",news.com.au,https://www.news.com.au/technology/motoring/wave-of-new-evs-to-hit-melbourne/news-story/6d2cbcf67b108e344d352e963e313800,2026-07-16,"Search snippet reports March 2026 BEV sales and plug-in share."
heraldsun_2026_may,B,media_vfacts_quote,"Tesla Model Y now Australia's best-selling vehicle",Herald Sun,https://www.heraldsun.com.au/news/victoria/electric-car-overtakes-rivals-to-become-australias-number-one-seller/news-story/3fbc60517eaa1368567791d6f2d23551,2026-07-16,"Search snippet reports May 2026 EV sales, EV share, and electrified-vehicle share from VFACTS."
chasingcars_2024_top100,B,media_vfacts_quote,"Top 100 most popular cars in Australia in 2024: best-selling vehicles",Chasing Cars,https://www.chasingcars.com.au/news/car-industry/top-100-most-popular-cars-in-australia-in-2024-best-selling-vehicles/,2026-07-16,"Reports 2024 top 100 model sales, vehicle types, total market, and selected model powertrain details from VFACTS."
carexpert_2021_full,B,media_vfacts_quote,"VFACTS: Australia's 2021 new car sales detailed in full",CarExpert,https://www.carexpert.com.au/car-news/vfacts-australias-2021-new-car-sales-detailed-in-full,2026-07-16,"Reports 2021 total market, category breakdown, fuel breakdown, buyer type, regions, and top models from VFACTS."
carexpert_2022_full,B,media_vfacts_quote,"VFACTS: Australia's new car sales results for 2022",CarExpert,https://www.carexpert.com.au/car-news/vfacts-australias-new-car-sales-results-for-2022,2026-07-16,"Reports 2022 total market, category breakdown, fuel breakdown, buyer type, regions, and top models from VFACTS."
carexpert_2023_full,B,media_vfacts_quote,"VFACTS 2023: All-time Australian sales record, Ford Ranger tops charts",CarExpert,https://www.carexpert.com.au/car-news/vfacts-2023-all-time-australian-sales-record-ford-ranger-tops-charts,2026-07-16,"Reports 2023 total market, category breakdown, fuel breakdown, buyer type, regions, EV-specific top sellers, and top models from VFACTS."
carsguide_2020_top100,B,media_vfacts_quote,"Top 100 new cars sold in Australia in 2020",CarsGuide,https://www.carsguide.com.au/car-news/top-100-new-cars-sold-in-australia-in-2020-82038,2026-07-16,"Reports 2020 top 100 model sales from VFACTS. Notes Tesla sales are not included in VFACTS."
carsguide_2019_top100,B,media_vfacts_quote,"Top 100 new cars sold in Australia in 2019",CarsGuide,https://www.carsguide.com.au/car-news/top-100-new-cars-sold-in-australia-in-2019-77618,2026-07-16,"Reports 2019 top 100 model sales from VFACTS."
carexpert_2025_full,B,media_vfacts_quote,"VFACTS 2025: Another record year for new vehicle sales in Australia, but growth modest overall",CarExpert,https://www.carexpert.com.au/car-news/vfacts-2025-another-record-year-for-new-vehicle-sales-in-australia-but-growth-modest-overall,2026-07-16,"Reports 2025 total market, category breakdown, fuel breakdown, brands, segment leaders, and top models from FCAI/Electric Vehicle Council data."
chasingcars_2026_apr,B,media_vfacts_quote,"April new car sales 2026: EV sales soar to one in eight while Toyota RAV4 lands back on the throne",Chasing Cars,https://www.chasingcars.com.au/news/car-industry/april-new-car-sales-2026-ev-sales-soar-to-one-in-eight-while-toyota-rav4-lands-back-on-the-throne/,2026-07-16,"Reports April 2026 monthly and YTD total/fuel/model observations from FCAI and Electric Vehicle Council data."
chasingcars_2026_may,B,media_vfacts_quote,"MAY 2026 new car sales: Tesla Model Y claims top spot while Chinese-brand sales surge hitting Toyota and Ford",Chasing Cars,https://www.chasingcars.com.au/news/car-industry/may-2026-new-car-sales-tesla-model-y-claims-top-spot-while-chinese-brand-sales-surge-hitting-toyota-and-ford/,2026-07-16,"Reports May 2026 monthly top model and brand observations, plus selected YTD brand observations."
aaa_ev_index,A,official_dashboard,"Electric Vehicle Index",Australian Automobile Association,https://www.aaa.asn.au/research-data/electric-vehicle/,2026-07-16,"Public dashboard. Page states data may be used with AAA attribution and linkback. Public GraphQL endpoint exposes state, vehicle type, manufacturer, model, fuel type, and quarterly sales counts from Q1 2022 to Q1 2026; embedded Google Sheets CSV fallback inspected only covered Q1 2022 to Q1 2024."
fcai_2016_full,A,official_media_release,"Record Sales Year for 2016 Flags Dramatic Shift in Buyer Preferences",Federal Chamber of Automotive Industries,https://www.fcai.com.au/record-sales-year-for-2016-flags-dramatic-shift-in-buyer-preferences/,2026-07-17,"Reports 2016 total market, SUV share, light-commercial share, brand/model leaders, and buyer-type changes from VFACTS."
goauto_2016_full,B,media_vfacts_quote,"SUVs set to topple passenger cars",GoAuto,https://www.goauto.com.au/news/vfacts/sales-2016/suvs-set-to-topple-passenger-cars/2017-01-05/20155.html,2026-07-17,"Reports 2016 passenger and SUV annual sales plus selected fuel observations from VFACTS."
goauto_kpmg_2018_industry,B,industry_analysis_vfacts_quote,"Be alert but not alarmed: Part Two",GoAuto Premium,https://premium.goauto.com.au/be-alert-but-not-alarmed-part-two/,2026-07-17,"Reports VFACTS 2017 and 2018 vehicle-class totals and passenger/SUV fuel split table."
fcai_2019_full,A,official_media_release,"New vehicle sales down in challenging 2019 market",Federal Chamber of Automotive Industries,https://www.fcai.com.au/new-vehicle-sales-down-in-challenging-2019-market/,2026-07-17,"Reports 2019 total market, class shares, and year-on-year movements by vehicle class from VFACTS."
goauto_2020_hybrid_market,B,media_vfacts_quote,"Market Insight: Hybrids gather pace",GoAuto,https://www.goauto.com.au/news/market-insight/market-insight-2020/market-insight-hybrids-gather-pace/2020-03-17/82015.html,2026-07-17,"Reports 2018 and 2019 hybrid totals, 2019 Toyota hybrid count, and plug-in market context from VFACTS."
carexpert_2020_full,B,media_vfacts_quote,"VFACTS: Australia's new vehicle sales at their lowest since 2003",CarExpert,https://www.carexpert.com.au/car-news/vfacts-2020-australian-new-car-sales-results-reviewed-in-detail,2026-07-17,"Reports 2020 total market, class shares, fuel totals, top models, buyer type, and state totals from FCAI/VFACTS."
