"source_id","model","model_key","variant_details","vehicle_type","broad_vehicle_type","powertrain","listed_price_aud","fast_charge_time_minutes","fast_charge_power_kw","ancap_rating_raw","ancap_stars","ancap_year","ancap_van_rating","range_km","energy_consumption","notes"
"aaa_ev_index_vehicle_specs","Ford Transit Custom","ford transit custom","2025 Ford E-Transit Custom Sport SWB AV SWB Auto 26.00MY","Van","light_commercial","BEV",79990,32,125,"Unrated",NA,NA,NA,NA,NA,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","LDV eDeliver7","ldv edeliver7","2024 LDV eDeliver 7 SWB Auto","Van","light_commercial","BEV",67358,45,78,NA,NA,NA,"Gold (77%)",NA,NA,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Mercedes-Benz eVito Van","mercedes benz evito van","2025 Mercedes-Benz eVito 112 LWB Auto","Van","light_commercial","BEV",98951,35,NA,NA,NA,NA,"Platinum (90%)",283,26.1,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Peugeot Expert","peugeot expert","2024 Peugeot e-Expert Pro Long Auto","Van","light_commercial","BEV",79990,45,100,"Unrated",NA,NA,NA,NA,NA,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Peugeot Partner","peugeot partner","2025 Peugeot e-Partner Pro LWB Auto MY25","Van","light_commercial","BEV",60990,30,NA,"Unrated",NA,NA,NA,258,21.8,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Renault Kangoo","renault kangoo","2025 Renault Kangoo E-TechL2 EV45 LWB Auto MY25","Van","light_commercial","BEV",63990,85,80,"Unrated",NA,NA,NA,286,17.5,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Audi e-tron GT","audi e tron gt","2025 Audi RS e-tron GT Auto e-quattro MY25","Large Car","passenger","BEV",264900,18,320,"Unrated",NA,NA,NA,532,19.4,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","BMW i4","bmw i4","2024 BMW i4 eDrive35 M Sport G26 Auto","Medium Car","passenger","BEV",85900,31,205,"4 star, 2022",4,2022,NA,520,22.2,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","BMW i5","bmw i5","2025 BMW i5 eDrive40 M Sport G60 Auto","Large Car","passenger","BEV",155900,30,205,"Unrated",NA,NA,NA,550,16.5,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","BMW i7","bmw i7","2025 BMW i7 xDrive60 M Sport G70 Auto AWD","Large Car","passenger","BEV",306900,34,205,"Unrated",NA,NA,NA,625,22.2,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","BYD Dolphin","byd dolphin","2025 BYD Dolphin Essential Auto MY25","Small Car","passenger","BEV",29990,29,100,"5 star, 2023",5,2023,NA,410,12.6,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","BYD Seal","byd seal","2025 BYD Seal Dynamic Auto MY25","Medium Car","passenger","BEV",46990,26,150,"5 star, 2023",5,2023,NA,510,13.8,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Fiat 500e","fiat 500e","2023 Fiat 500e La Prima Auto MY23","Small Car","passenger","BEV",52500,35,85,"4 star, 2021",4,2021,NA,311,14.4,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Genesis G80","genesis g80","2025 Genesis G80 Signature Auto AWD MY25","Large Car","passenger","BEV",155000,25,350,"5 star, 2021",5,2021,NA,520,19.1,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","GWM Ora","gwm ora","2025 GWM Ora Standard Range Auto","Small Car","passenger","BEV",NA,41,80,"5 star, 2022",5,2022,NA,310,16.7,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Hyundai Ioniq 6","hyundai ioniq 6","2025 Hyundai IONIQ 6 Auto 2WD MY25","Medium Car","passenger","BEV",67300,18,NA,"5 star, 2022",5,2022,NA,614,11.6,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Lotus Emeya","lotus emeya","2025 Lotus Emeya Auto AWD","Large Car","passenger","BEV",189990,50,420,"Unrated",NA,NA,NA,NA,NA,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Maserati Coupe/Conv","maserati coupe conv","2025 Maserati GranCabrio Folgore Auto 4x4 MY25","Sports Car","passenger","BEV",475000,NA,NA,"Unrated",NA,NA,NA,NA,NA,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","MG Cyberster","mg cyberster","2025 MG Cyberster Auto MY25","Sports Car","passenger","BEV",99900,40,150,"Unrated",NA,NA,NA,443,19.1,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","MG IM5","mg im5","2025 MG IM5 Performance Auto AWD MY25","Large Car","passenger","BEV",NA,15.2,NA,"Unrated",NA,NA,NA,615,18.6,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","MG MG4","mg mg4","2025 MG MG4 Excite 51 125kW Auto MY25","Small Car","passenger","BEV",37990,40,50,"5 star, 2022",5,2022,NA,405,18.4,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","MINI Aceman","mini aceman","2025 MINI Aceman E Classic Auto FWD","Small Car","passenger","BEV",55990,28,75,"Unrated",NA,NA,NA,300,14.1,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","MINI Hatch","mini hatch","2025 MINI Cooper SE Favoured Auto","Small Car","passenger","BEV",58990,30,130,"5 star, 2025",5,2025,NA,362,15.1,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Peugeot 308","peugeot 308","2024 Peugeot E-308 GT Auto MY24","Small Car","passenger","BEV",NA,30,100,"Unrated",NA,NA,NA,NA,NA,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
"aaa_ev_index_vehicle_specs","Polestar 2","polestar 2","2025 Polestar 2 Standard range Single motor Auto MY25","Medium Car","passenger","BEV",62400,28,205,"5 star, 2021",5,2021,NA,625,19.7,"AAA EV Index vehicle specifications CSV, September 2025. Covers BEV and PHEV models/variants listed by AAA."
