"make","model","period","geography","rank","vehicle_type_reported","sales","unit","source_id.x","notes.x","canonical_model","vehicle_type","powertrain_profile","confidence","source_id.y","notes.y"
"Ford","Ranger",2024,"Australia",1,"Ute",62593,"vehicles","chasingcars_2024_top100","Includes 4x4 and 4x2 variants; Chasing Cars reports nearly 58000 4x4 and 4633 4x2.","Ford Ranger","light_commercial","mixed_ICE_PHEV","medium","chasingcars_2024_top100","Mostly diesel in 2024; PHEV arrived in 2025, so 2024 can usually be treated as ICE unless modelling forward."
"Toyota","RAV4",2024,"Australia",2,"Midsize SUV",58718,"vehicles","chasingcars_2024_top100","Chasing Cars reports 55902 petrol-electric hybrid sales.","Toyota RAV4","SUV","mixed_ICE_HEV","high","chasingcars_2024_top100","2024 top-100 article reports 55902 hybrid sales out of 58718 total."
"Toyota","Hilux",2024,"Australia",3,"Ute",53499,"vehicles","chasingcars_2024_top100",NA,"Toyota Hilux","light_commercial","ICE_diesel","medium","chasingcars_2024_top100","Dominantly diesel ute in Australian market."
"Isuzu","D-Max",2024,"Australia",4,"Ute",30194,"vehicles","chasingcars_2024_top100",NA,"Isuzu D-Max","light_commercial","ICE_diesel","high","chasingcars_2024_top100","Diesel ute."
"Mitsubishi","Outlander",2024,"Australia",5,"Midsize SUV",27613,"vehicles","chasingcars_2024_top100","Includes ICE and PHEV variants.","Mitsubishi Outlander","SUV","mixed_ICE_PHEV","medium","chasingcars_2024_top100","PHEV variant significant but total includes ICE."
"Ford","Everest",2024,"Australia",6,"Large SUV",26494,"vehicles","chasingcars_2024_top100","Ranger-derived SUV.","Ford Everest","SUV","ICE_diesel","medium","chasingcars_2024_top100","Ranger-derived diesel SUV in 2024."
"Toyota","Corolla",2024,"Australia",7,"Small car",24027,"vehicles","chasingcars_2024_top100","Chasing Cars notes Corolla went exclusively hybrid in 2024.","Toyota Corolla","passenger","HEV","medium","chasingcars_2024_top100","Article says Corolla went exclusively hybrid in 2024."
"Mazda","CX-5",2024,"Australia",8,"Midsize SUV",22835,"vehicles","chasingcars_2024_top100",NA,"Mazda CX-5","SUV","ICE_petrol_or_diesel","medium","chasingcars_2024_top100","No plug-in variant in 2024 Australian mainstream sales."
"MG","ZS",2024,"Australia",9,"Small SUV",22629,"vehicles","chasingcars_2024_top100","Includes outgoing/new-generation mix; legacy ZS EV may be included depending VFACTS model treatment.","MG ZS","SUV","mixed_ICE_BEV_HEV","low","chasingcars_2024_top100","Model-generation change and EV treatment need verification."
"Kia","Sportage",2024,"Australia",10,"Midsize SUV",22210,"vehicles","chasingcars_2024_top100","Hybrid variant added in 2024.","Kia Sportage","SUV","mixed_ICE_HEV","medium","chasingcars_2024_top100","Hybrid variant added in 2024."
"Tesla","Model Y",2024,"Australia",11,"Midsize SUV",21253,"vehicles","chasingcars_2024_top100","BEV.","Tesla Model Y","SUV","BEV","high","chasingcars_2024_top100","BEV only."
"Hyundai","Tucson",2024,"Australia",12,"Midsize SUV",19061,"vehicles","chasingcars_2024_top100","Hybrid variant added in 2024.","Hyundai Tucson","SUV","mixed_ICE_HEV","medium","chasingcars_2024_top100","Hybrid variant added in 2024."
"Mazda","CX-3",2024,"Australia",13,"Small SUV",18461,"vehicles","chasingcars_2024_top100",NA,"Mazda CX-3","SUV","ICE_petrol","medium","chasingcars_2024_top100",NA
"Mitsubishi","Triton",2024,"Australia",14,"Ute",18077,"vehicles","chasingcars_2024_top100",NA,"Mitsubishi Triton","light_commercial","ICE_diesel","high","chasingcars_2024_top100","Diesel ute."
