"source_id","period","geography","vehicle_type","powertrain","sales","unit","period_type","metric","estimate_status","coverage_status","observation_level","preferred_for_projection","notes","source_grade","source_type","publisher","tesla_scope","powertrain_canonical","market_scope","row_quality","uncertainty_band_percent","lower_sales","upper_sales","projection_caveat"
"fcai_2016_full","2016","Australia","heavy_commercial","total",32904,"vehicles","annual_sales","new_vehicle_sales","derived","source_reported_period","vehicle_type_total",TRUE,"Residual after passenger, SUV, and derived light-commercial totals.","A","official_media_release","Federal Chamber of Automotive Industries","unknown_or_mixed","total","heavy_commercial_only","derived_from_public_percent_or_residual",8,30272,35536,""
"fcai_2016_full","2016","Australia","light_commercial","total",217955,"vehicles","annual_sales","new_vehicle_sales","derived","source_reported_period","vehicle_type_total",TRUE,"FCAI reports 2016 light commercial vehicles held 18.5 percent of the market.","A","official_media_release","Federal Chamber of Automotive Industries","unknown_or_mixed","total","light_vehicle","derived_from_public_percent_or_residual",8,200519,235391,""
"goauto_2016_full","2016","Australia","passenger","ICE_diesel",20482,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period","vehicle_type_powertrain",TRUE,"GoAuto reports diesel passenger-car sales fell to this value in 2016.","B","media_vfacts_quote","GoAuto","unknown_or_mixed","ICE_diesel","light_vehicle","direct_media_vfacts_quote",2,20072,20892,""
"goauto_2016_full","2016","Australia","passenger","total",486257,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period","vehicle_type_total",TRUE,"GoAuto reports 2016 passenger-car sales from VFACTS.","B","media_vfacts_quote","GoAuto","unknown_or_mixed","total","light_vehicle","direct_media_vfacts_quote",2,476532,495982,""
"goauto_2016_full","2016","Australia","SUV","total",441017,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period","vehicle_type_total",TRUE,"GoAuto reports 2016 SUV sales from VFACTS.","B","media_vfacts_quote","GoAuto","unknown_or_mixed","total","light_vehicle","direct_media_vfacts_quote",2,432197,449837,""
"wiki_pev_au","2016","Australia","total","BEV_or_PHEV",1369,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period","powertrain_total",TRUE,"Tertiary compilation; backfill original source.","C","tertiary_compilation","Wikipedia","unknown_or_mixed","BEV_or_PHEV","all_new_vehicles","tertiary_compilation",20,1095,1643,"combined plug-in bucket; do not sum with separate BEV/PHEV rows"
"goauto_2016_full","2016","Australia","total","BEV_or_PHEV_excl_Tesla",282,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period","powertrain_total",TRUE,"GoAuto reports 282 electric vehicles, mainly plug-in hybrids, sold in 2016; Tesla treatment unclear.","B","media_vfacts_quote","GoAuto","excludes_tesla","BEV_or_PHEV","all_new_vehicles","direct_media_vfacts_quote",2,276,288,"excludes Tesla; not directly comparable with later all-brand BEV totals"
"fcai_2016_full","2016","Australia","total","total",1178133,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period","market_total",TRUE,"FCAI reports 2016 VFACTS total new vehicle sales.","A","official_media_release","Federal Chamber of Automotive Industries","unknown_or_mixed","total","all_new_vehicles","direct_official_or_primary",1,1166352,1189914,""
"goauto_kpmg_2018_industry","2017","Australia","heavy_commercial","total",36849,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period","vehicle_type_total",TRUE,"Vehicle class total.","B","industry_analysis_vfacts_quote","GoAuto Premium","unknown_or_mixed","total","heavy_commercial_only","direct_media_vfacts_quote",2,36112,37586,""
"goauto_kpmg_2018_industry","2017","Australia","light_commercial","total",236609,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period","vehicle_type_total",TRUE,"Vehicle class total.","B","industry_analysis_vfacts_quote","GoAuto Premium","unknown_or_mixed","total","light_vehicle","direct_media_vfacts_quote",2,231877,241341,""
"goauto_kpmg_2018_industry","2017","Australia","passenger","BEV",512,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period","vehicle_type_powertrain",TRUE,"Passenger fuel split from VFACTS table; Tesla treatment depends on VFACTS reporting.","B","industry_analysis_vfacts_quote","GoAuto Premium","unknown_or_mixed","BEV","light_vehicle","direct_media_vfacts_quote",2,502,522,""
