"make","model","period","geography","rank","vehicle_type_reported","sales","unit","source_id.x","notes.x","canonical_model","vehicle_type","powertrain_profile","confidence","source_id.y","notes.y"
"Toyota","Hilux","2019","Australia",1,"Ute",47759,"vehicles","carsguide_2019_top100","Top-100 model list.","Toyota Hilux","light_commercial","ICE_diesel","medium","chasingcars_2024_top100","Dominantly diesel ute in Australian market."
"Ford","Ranger","2019","Australia",2,"Ute",40960,"vehicles","carsguide_2019_top100","Top-100 model list.","Ford Ranger","light_commercial","mixed_ICE_PHEV","medium","chasingcars_2024_top100","Mostly diesel in 2024; PHEV arrived in 2025, so 2024 can usually be treated as ICE unless modelling forward."
"Toyota","Corolla","2019","Australia",3,"Small car",30468,"vehicles","carsguide_2019_top100","Top-100 model list.","Toyota Corolla","passenger","HEV","medium","chasingcars_2024_top100","Article says Corolla went exclusively hybrid in 2024."
"Hyundai","i30","2019","Australia",4,"Small car",28378,"vehicles","carsguide_2019_top100","Top-100 model list.","Hyundai i30","passenger","ICE_petrol","medium","chasingcars_2024_top100",NA
"Mitsubishi","Triton","2019","Australia",5,"Ute",25819,"vehicles","carsguide_2019_top100","Top-100 model list.","Mitsubishi Triton","light_commercial","ICE_diesel","high","chasingcars_2024_top100","Diesel ute."
"Mazda","CX-5","2019","Australia",6,"Midsize SUV",25539,"vehicles","carsguide_2019_top100","Top-100 model list.","Mazda CX-5","SUV","ICE_petrol_or_diesel","medium","chasingcars_2024_top100","No plug-in variant in 2024 Australian mainstream sales."
"Mazda","3","2019","Australia",7,"Small car",24939,"vehicles","carsguide_2019_top100","Listed as Mazda3 in source.","Mazda 3","passenger","ICE_petrol","medium","chasingcars_2024_top100","Mild-hybrid variants possible but not plug-in."
"Toyota","RAV4","2019","Australia",8,"Midsize SUV",24260,"vehicles","carsguide_2019_top100","Top-100 model list.","Toyota RAV4","SUV","mixed_ICE_HEV","high","chasingcars_2024_top100","2024 top-100 article reports 55902 hybrid sales out of 58718 total."
"Kia","Cerato","2019","Australia",9,"Small car",21757,"vehicles","carsguide_2019_top100","Top-100 model list.","Kia Cerato","passenger","ICE_petrol","medium","chasingcars_2024_top100",NA
"Mitsubishi","ASX","2019","Australia",10,"Small SUV",20806,"vehicles","carsguide_2019_top100","Top-100 model list.","Mitsubishi ASX","SUV","ICE_petrol","medium","chasingcars_2024_top100",NA
